words;count;idf;tf
gibberellins;1;1;0
gibberish;1;1;0
gibbon;3;3;1
gibbons;1;1;0
gibbous;1;1;1
gibbs;8;8;1
gibbsite;2;2;1
gibor;1;1;0
gibraltar;2;2;0
gibraltarhidden;1;1;1
gibraltarian;1;1;1
gibraltarians;1;1;1
gibran;1;1;1
gibson;7;7;4
gibt;1;1;1
gidding;1;1;0
gideon;1;1;1
gie;1;1;0
gieffers;1;1;0
gier;1;1;0
gierowski;1;1;1
gierschik;1;1;0
giez;1;1;1
gifford;1;1;1
gift;10;10;4
gifted;3;3;0
giftige;2;2;0
gifts;8;8;2
gig;2;2;2
giga;1;1;0
gigaliters;1;1;0
gigantea;2;2;1
giganteum;1;1;0
giganteus;2;2;0
gigantic;11;11;2
gigantism;1;1;0
gigantissima;1;1;0
gigantopterids;1;1;0
gigantum;1;1;0
gigapascals;1;1;0
gigapixel;1;1;1
gigatonnes;1;1;0
gigs;1;1;1
giguere;1;1;0
gijsbert;1;1;0
gil;2;2;2
gila;1;1;1
gilani;2;2;1
gilbert;24;24;9
gilberto;1;1;0
gilbertson;1;1;0
gilchrist;1;1;1
gilda;2;2;1
gildas;3;3;0
gilded;2;2;1
gilder;1;1;0
gilding;1;1;0
gilens;1;1;0
gilenstam;1;1;1
giles;6;6;4
gilgit;3;3;1
gill;13;13;3
gillan;1;1;1
gillani;1;1;1
gilled;4;4;2
gilles;7;7;0
gillian;4;4;2
gillies;2;2;1
gilliesiaceae;1;1;0
gilliesieae;2;2;1
gilliland;1;1;1
gills;12;12;3
gilman;1;1;0
gilmour;1;1;0
gilson;1;1;0
gilsonite;1;1;1
gilyak;1;1;0
gilydd;1;1;1
gimbal;1;1;1
gimcracks;1;1;1
gimenez;1;1;1
gimmicks;1;1;1
gimnazija;1;1;1
gin;1;1;0
gina;2;2;0
ginevra;1;1;0
ging;1;1;0
ginger;2;2;0
gingers;1;1;0
gini;2;2;1
ginkgo;6;6;3
ginkgophyta;1;1;0
ginkgos;3;3;1
ginn;3;3;0
ginny;1;1;1
gino;1;1;0
ginoux;1;1;1
ginseng;1;1;0
ginter;1;1;0
ginty;1;1;0
ginza;1;1;0
gio;1;1;1
gioi;1;1;0
gioiosa;1;1;0
giordano;3;3;0
giorgio;4;4;0
giot;1;1;0
giotto;1;1;0
giovanna;1;1;1
giovanni;15;15;2
giovannoni;3;3;0
gip;1;1;1
gips;1;1;1
gir;1;1;1
giraffe;1;1;0
giraffes;1;1;0
girard;1;1;1
giraud;1;1;1
girault;1;1;0
girded;1;1;1
girdle;3;3;0
girdlestone;1;1;0
giri;2;2;0
giribet;1;1;0
girish;1;1;1
girl;15;15;6
girley;1;1;1
girlfriend;2;2;2
girlhood;1;1;0
girls;10;10;4
girolamo;5;5;3
gironde;1;1;0
girondin;1;1;0
girondists;2;2;1
gis;3;3;2
giscard;3;3;1
giselher;2;2;0
gish;1;1;0
gita;3;3;2
gitai;1;1;0
giuliano;4;4;0
giulio;3;3;0
giunta;1;1;1
giunti;2;2;1
giuseppe;8;8;1
given;269;269;104
gives;134;134;52
givetian;2;2;1
givewell;1;1;0
giving;99;99;40
givnish;3;3;1
givskov;1;1;1
giza;2;2;1
gizzard;1;1;0
gj;3;3;2
gk;1;1;1
glabrous;2;2;0
glaces;1;1;1
glacial;43;43;12
glacially;1;1;0
glaciares;2;2;0
glaciated;4;4;2
glaciation;17;17;5
glaciations;10;10;3
glacier;16;16;5
glaciers;30;30;8
glacifluvial;1;1;0
glacigenic;1;1;0
glaciological;1;1;0
glaciology;3;3;1
glaciovolcanism;1;1;1
glad;1;1;1
gladatorial;1;1;1
gladiateurs;1;1;0
gladiatorial;1;1;1
gladiators;1;1;1
gladis;1;1;1
gladness;1;1;0
gladstone;1;1;0
glamor;2;2;2
glamorized;1;1;0
glamorous;1;1;1
glance;3;3;1
glances;1;1;0
glancing;3;3;2
gland;11;11;5
glands;16;16;6
glandular;4;4;1
glanduligera;1;1;0
glare;2;2;1
glaring;3;3;2
glarus;1;1;0
glas;1;1;1
glascock;1;1;1
glaser;1;1;0
glasgow;7;7;4
glasner;1;1;1
glasney;1;1;1
glasra;1;1;1
glass;43;43;11
glassblowing;1;1;1
glasser;1;1;1
glasses;8;8;3
glassmaking;3;3;2
glassman;1;1;1
glassware;2;2;0
glassy;6;6;4
glauber;1;1;0
glauca;2;2;0
glauco;1;1;0
glaucophane;1;1;0
glaucophyta;1;1;1
glaucous;1;1;0
glaucum;1;1;1
glazed;2;2;1
glazes;6;6;2
glazialgeologie;2;2;1
glazing;1;1;1
gleach;1;1;0
gleaming;3;3;1
gleaned;1;1;0
gleaner;1;1;0
gleason;1;1;1
glebovich;1;1;1
gledhill;1;1;0
glen;12;12;5
glenasmole;1;1;0
glenburgh;1;1;0
glenelg;1;1;0
glenn;16;16;9
glennie;1;1;0
glens;3;3;1
glerum;1;1;1
gletscherbedeckung;1;1;0
gletscherkunde;1;1;1
gleying;1;1;0
gli;1;1;0
glia;1;1;1
glial;2;2;1
glide;2;2;1
glider;1;1;1
glides;2;2;2
gliding;4;4;1
gliederung;1;1;1
gliese;2;2;2
glimpse;3;3;1
glimpsed;1;1;1
glimpses;2;2;0
glints;1;1;1
glioblastoma;1;1;1
gliozzi;2;2;1
glires;1;1;0
glit;1;1;1
glitter;1;1;1
glittering;1;1;0
glms;1;1;0
global;181;181;68
globales;1;1;0
globalisation;2;2;2
globalising;1;1;0
globalist;1;1;0
globalization;12;12;4
globalizationhidden;1;1;0
globalized;2;2;1
globalizing;1;1;1
globally;27;27;6
globalstar;1;1;1
globe;34;34;12
globemed;1;1;1
globen;1;1;1
globes;1;1;0
globish;1;1;0
globo;1;1;0
globose;3;3;0
globular;6;6;3
globule;2;2;0
globules;1;1;0
gloeckner;1;1;0
gloeophyllum;1;1;0
glogn;1;1;0
gloire;1;1;0
glomeromycetes;1;1;0
glomeromycota;2;2;1
glomeromycotan;1;1;0
glomerular;2;2;1
glomerules;1;1;0
glomus;1;1;1
gloom;1;1;1
gloomy;1;1;1
gloria;2;2;1
glories;1;1;1
glorified;1;1;0
glorify;1;1;1
glorious;6;6;3
glory;17;17;5
glosa;1;1;0
gloss;4;4;3
glossa;1;1;0
glossaire;1;1;0
glossaries;3;3;2
glossarium;1;1;0
glossary;33;33;15
"glossary
";1;1;0
glossed;3;3;2
glosses;2;2;1
glossopharyngeal;1;1;1
glossopteris;2;2;1
glossy;6;6;2
glottal;5;5;4
glottalization;1;1;1
glottolog;5;5;2
gloucester;1;1;0
gloup;1;1;0
gloves;2;2;2
glow;8;8;4
glowacki;1;1;0
glowing;3;3;2
glows;1;1;1
gloy;1;1;1
gls;1;1;0
glu;1;1;1
glucagon;5;5;4
glucans;1;1;0
glucobarbarin;1;1;0
glucobrassicin;1;1;0
gluconeogenesis;3;3;3
glucoprivation;1;1;0
glucoregulatory;1;1;1
glucose;26;26;9
glucoside;1;1;0
glucosides;1;1;0
glucosinolate;3;3;0
glucosinolates;3;3;2
glud;1;1;0
glue;4;4;1
glued;4;4;1
glues;1;1;0
gluey;1;1;1
glugoski;1;1;0
gluon;2;2;1
gluons;1;1;0
glusman;1;1;0
glut;1;1;1
glutamate;2;2;0
glutamatergic;1;1;1
glutamic;2;2;1
glutamine;2;2;0
glutathione;2;2;2
gluteal;1;1;0
gluteus;1;1;0
glutinous;1;1;0
glycan;1;1;0
glycate;1;1;1
glycation;2;2;1
glycemic;3;3;3
glyceraldehyde;4;4;3
glycerate;1;1;1
glycerated;1;1;0
glycerides;1;1;0
glycerin;3;3;2
glycerine;2;2;2
glycerol;11;11;5
glyceryl;1;1;1
glycine;1;1;0
glycoalkaloids;1;1;1
glycobiology;1;1;0
glycogen;6;6;3
glycol;2;2;1
glycolate;1;1;1
glycolipids;1;1;1
glycols;1;1;1
glycolysis;4;4;2
glycolytic;2;2;1
glycoprotein;3;3;3
glycoproteins;2;2;2
glycosaminoglycans;1;1;0
glycoside;1;1;1
glycosides;2;2;0
glycosuria;1;1;1
glycosylation;2;2;2
glycyl;1;1;1
glyer;1;1;1
glyn;4;4;2
glynn;2;2;1
glyph;2;2;1
glyphs;1;1;1
gm;1;1;0
gma;3;3;2
gmbh;1;1;0
gmc;1;1;1
gmelin;3;3;1
gmina;1;1;1
gminas;1;1;1
gmm;1;1;0
gmo;3;3;1
gmp;2;2;0
gmt;3;3;0
gn;6;6;4
gnaeus;2;2;2
gnarled;3;3;0
gnathobases;1;1;1
gnathosoma;1;1;0
gnathostomata;1;1;0
gnathostome;1;1;0
gnawing;2;2;1
gnc;1;1;1
gnd;225;225;89
gneiss;6;6;0
gneisses;3;3;1
gneissic;1;1;0
gneissose;1;1;0
gnel;1;1;1
gnetophyta;1;1;0
gnetophytes;2;2;0
gnetum;1;1;0
gniezno;1;1;1
gnomes;1;1;0
gnomon;2;2;0
gnomonic;1;1;0
gnostic;2;2;0
gnosticism;1;1;0
gnostics;1;1;0
gnotobiotic;1;1;0
gnp;2;2;0
goa;3;3;1
goad;1;1;0
goal;47;47;19
goals;18;18;8
goalscorer;1;1;0
goan;1;1;1
goat;3;3;0
goatfish;1;1;1
goats;5;5;3
gob;1;1;1
gobble;1;1;1
gobbling;2;2;1
gobelin;1;1;1
gobelins;1;1;1
gobet;1;1;0
gobi;1;1;0
gobierno;1;1;0
gobind;1;1;1
goblet;1;1;0
goblin;2;2;2
gobo;1;1;0
god;47;47;15
goddard;14;14;7
goddess;16;16;2
goddesses;3;3;1
godefroy;2;2;0
godes;1;1;1
godfather;1;1;0
godfathers;1;1;0
godfray;2;2;1
godfrey;2;2;1
godfreyi;1;1;1
godinho;1;1;0
godless;1;1;1
gods;18;18;5
godsdeified;1;1;0
godsgreek;1;1;0
godsmythological;1;1;0
godwin;1;1;0
godwinson;1;1;1
goebel;3;3;1
goeden;1;1;1
goedert;2;2;1
goedkeuring;1;1;0
goes;63;63;26
goethals;1;1;0
goethe;4;4;0
goethite;2;2;2
goffinet;4;4;2
gogarten;1;1;0
gogh;1;1;1
goghdutch;1;1;1
goghpeople;1;1;1
gogulapati;1;1;1
goguryeo;1;1;0
gohan;1;1;0
gohar;1;1;1
gohel;1;1;0
goi;1;1;0
goidelic;5;5;4
going;64;64;27
goiter;2;2;2
goitrogenic;1;1;1
goitrogens;1;1;1
gojri;1;1;0
gokulsing;1;1;0
gol;1;1;1
golan;1;1;0
golas;1;1;0
gold;68;68;29
goldar;1;1;0
goldberg;2;2;1
goldbohm;1;1;0
golden;70;70;21
goldene;1;1;0
goldfarb;1;1;0
goldfuss;1;1;1
goldhill;1;1;1
goldich;1;1;1
goldilocks;1;1;1
golding;1;1;1
goldman;6;6;1
goldmine;1;1;0
goldovsky;1;1;0
goldschmidt;2;2;1
goldsmith;7;7;4
goldsmiths;1;1;1
goldstein;3;3;0
goldsworthy;1;1;1
golf;11;11;6
golfing;1;1;0
golfo;1;1;0
golgi;7;7;5
goliad;1;1;0
goliath;2;2;1
goliathberg;1;1;0
goliathini;1;1;0
goliaths;1;1;0
goliathus;1;1;0
goliatus;1;1;0
golo;1;1;0
goloboff;1;1;1
golongan;1;1;1
golovin;1;1;1
golra;1;1;1
golshani;1;1;1
golson;2;2;1
golyshina;1;1;0
gomal;1;1;0
gombe;1;1;1
gombrich;1;1;0
gombrowicz;1;1;1
gomersall;1;1;0
gomes;2;2;0
gomez;2;2;1
gomi;1;1;0
gompa;1;1;0
gomphus;1;1;1
gona;1;1;0
gonadal;1;1;0
gonads;3;3;1
goncourt;1;1;0
gondii;1;1;0
gondrand;1;1;0
gondwana;20;20;8
gondwanaland;1;1;0
gondwanan;1;1;0
gone;22;22;10
gong;3;3;1
gonging;1;1;0
gongylodes;1;1;0
goniatite;2;2;0
goniatites;1;1;0
gonick;1;1;0
gonidia;1;1;1
gonopods;1;1;0
gonopore;1;1;0
gonorrhea;1;1;1
gonzaga;2;2;0
gonzalez;1;1;0
gonzalo;6;6;0
good;151;151;61
goodbye;1;1;0
goode;1;1;1
goodeids;1;1;0
goodenough;1;1;1
goodfellow;1;1;0
goodfield;1;1;0
goodheart;2;2;0
goodman;5;5;1
goodness;4;4;1
goods;36;36;6
goodsell;1;1;1
goodsir;1;1;1
goodwin;3;3;2
goody;1;1;1
goodyear;1;1;0
goodyerinae;1;1;0
google;31;31;10
goon;1;1;1
goose;3;3;2
gooseberry;2;2;1
goosenecks;1;1;1
goossens;2;2;0
gop;1;1;1
gopal;1;1;0
gopher;1;1;1
gophers;1;1;1
gophna;1;1;0
gopi;1;1;1
gopnik;1;1;1
gopuram;1;1;1
gora;1;1;0
goral;1;1;0
gorbach;1;1;0
gorbie;1;1;1
gorce;2;2;1
gordh;1;1;0
gordian;1;1;1
gordina;1;1;1
gordon;41;41;18
gore;1;1;1
gorge;6;6;3
gorgeous;1;1;0
gorges;3;3;2
gorgia;1;1;0
gorgias;1;1;1
gorgonopsians;2;2;1
gorgonopsids;1;1;1
gori;2;2;1
gorilla;4;4;2
gorillas;1;1;0
gorinchem;1;1;0
gorkhas;1;1;0
gorm;1;1;0
gorpiaios;1;1;1
gorran;1;1;1
gorrell;1;1;1
gorstian;1;1;0
gory;2;2;2
goryeo;1;1;0
goscinny;1;1;0
gose;1;1;0
gospel;7;7;3
gospels;4;4;1
goss;1;1;1
gossan;2;2;2
gossip;2;2;2
goswami;1;1;0
goswick;1;1;0
got;37;37;15
gotan;1;1;0
goth;2;2;1
gotha;2;2;1
gotham;2;2;0
gothenburg;1;1;1
gothic;23;23;7
gothicus;1;1;1
goths;4;4;2
gotland;1;1;1
gotlandic;1;1;1
gott;1;1;0
gotta;1;1;1
gotten;4;4;2
gottfried;9;9;3
gotthard;2;2;0
gottlieb;7;7;2
gottlob;1;1;1
gottschalk;1;1;1
goudey;1;1;0
goudie;2;2;1
gouge;1;1;1
gouged;1;1;1
gould;15;15;8
goulden;1;1;0
gouldii;1;1;1
goulet;1;1;1
gounod;2;2;0
gounon;1;1;0
goupil;1;1;1
gourd;3;3;0
gourds;2;2;0
gourmelen;1;1;0
gourmet;1;1;0
gout;1;1;0
goutam;1;1;0
goutte;1;1;0
gouvion;2;2;1
gouw;1;1;0
gouy;1;1;0
gova;19;19;7
gove;1;1;0
goverdhan;1;1;0
govern;22;22;7
governance;19;19;8
governed;45;45;22
governing;37;37;18
government;155;155;64
governmental;34;34;15
governments;44;44;21
governo;1;1;0
governor;31;31;11
governorate;3;3;0
governorates;2;2;0
governors;12;12;5
governorship;2;2;0
governs;11;11;4
govi;1;1;0
govindjee;1;1;1
govpubs;1;1;0
govt;3;3;2
gow;1;1;0
gower;1;1;1
gowers;1;1;1
gowik;1;1;0
gowland;1;1;0
gown;2;2;1
gowns;1;1;0
goya;2;2;0
goyal;2;2;0
goyot;1;1;1
gozh;1;1;0
gozzoli;1;1;0
gp;2;2;1
gpa;3;3;1
gpo;3;3;1
gprf;1;1;0
gps;10;10;4
graaf;1;1;1
grab;1;1;0
grabbing;1;1;0
graben;2;2;0
grabens;2;2;0
gracchi;1;1;1
grace;10;10;2
graced;2;2;0
graceful;1;1;0
graces;2;2;0
gracewing;1;1;0
gracia;1;1;1
graciansky;1;1;0
gracile;2;2;1
graciliano;1;1;0
gracilicollis;1;1;1
gracilis;1;1;0
gracious;1;1;0
gracol;1;1;0
gradation;3;3;3
gradational;1;1;0
grade;28;28;9
graded;7;7;3
grades;16;16;6
gradient;33;33;12
gradiente;1;1;0
gradients;14;14;3
grading;5;5;2
grads;1;1;1
gradstein;3;3;1
gradual;37;37;15
gradually;89;89;35
graduate;20;20;8
graduated;11;11;6
graduates;5;5;3
graduating;4;4;1
graduation;4;4;2
graduations;1;1;1
graebn;1;1;0
graeca;1;1;1
graecique;1;1;0
graeffei;1;1;1
graeme;8;8;4
graf;4;4;2
grafe;1;1;0
graffiti;2;2;1
graft;3;3;2
grafted;2;2;1
grafting;5;5;2
grafton;2;2;1
grah;1;1;0
graham;23;23;11
grahame;1;1;1
grail;1;1;0
grain;33;33;9
grained;7;7;5
grainer;1;1;1
graining;1;1;1
grains;42;42;17
grainsize;1;1;1
gram;17;17;8
gramado;1;1;0
gramajo;1;1;0
gramatiko;1;1;0
gramicidin;1;1;1
gramineae;1;1;0
grammaire;2;2;1
grammar;32;32;17
grammarian;2;2;1
grammarians;2;2;1
grammars;4;4;2
grammatica;1;1;0
grammatical;30;30;12
grammaticalization;1;1;1
grammaticalized;1;1;0
grammatically;4;4;3
grammaticus;1;1;0
grammatik;1;1;0
grammatophyllum;1;1;0
grammer;1;1;0
grammica;1;1;0
grammy;1;1;1
gramodyoga;1;1;1
grampian;3;3;2
grams;22;22;8
gran;8;8;2
granada;3;3;3
granadilla;1;1;0
granaries;2;2;0
granary;1;1;0
grand;68;68;20
granddaughter;2;2;1
grande;26;26;5
grandes;7;7;3
grandest;1;1;0
grandeur;3;3;3
grandfather;6;6;3
grandiose;1;1;0
grandis;1;1;0
grandoculis;1;1;0
grandorders;1;1;0
grandparents;2;2;1
grands;4;4;1
grandson;7;7;4
grandsons;2;2;1
grandstand;1;1;0
grange;1;1;0
granino;1;1;1
granit;2;2;0
granite;19;19;12
granitegranitic;1;1;1
granites;3;3;2
granitic;6;6;5
granitisation;1;1;1
granitization;1;1;1
granitoid;1;1;1
granitoids;1;1;1
granivory;1;1;1
grannis;1;1;0
granny;1;1;0
granoblastic;1;1;0
granodiorite;1;1;1
granola;1;1;0
grant;32;32;17
granta;1;1;1
granted;45;45;17
granth;1;1;0
grantha;1;1;0
grantham;1;1;0
granting;14;14;4
grants;16;16;7
granular;14;14;8
granularity;1;1;1
granulation;2;2;1
granule;2;2;1
granules;4;4;3
granulite;1;1;1
granulocytic;2;2;2
granum;1;1;1
granville;1;1;0
grape;7;7;2
grapengiesser;1;1;1
grapes;9;9;3
grapeseed;1;1;1
grapevines;1;1;1
graph;13;13;4
graphed;2;2;0
grapheme;1;1;0
graphemes;5;5;1
graphic;14;14;7
graphical;11;11;4
graphically;3;3;2
graphics;6;6;3
graphidaceae;1;1;1
graphis;1;1;1
graphite;15;15;7
graphpad;1;1;0
graphs;6;6;1
grappelli;1;1;0
grapple;1;1;1
grappling;2;2;0
graps;1;1;1
graptolite;1;1;0
graptolites;3;3;1
gras;4;4;0
grasas;1;1;0
graske;1;1;1
grasp;8;8;1
grasping;4;4;1
grass;23;23;6
grasses;15;15;3
grassland;8;8;1
grasslands;16;16;2
grassless;1;1;0
grassroots;3;3;1
grassy;3;3;1
grate;1;1;1
grated;1;1;0
grateful;1;1;0
grater;1;1;0
gratification;1;1;0
grating;2;2;1
gratuite;1;1;0
grauen;1;1;1
graumann;1;1;0
graur;1;1;0
grave;15;15;8
gravel;9;9;3
graveland;1;1;0
gravelly;3;3;0
gravels;5;5;2
graves;8;8;2
gravesande;1;1;1
gravestones;1;1;1
gravett;1;1;0
graveyard;1;1;1
graveyards;1;1;0
gravimeter;1;1;0
gravimeters;1;1;0
gravissimas;2;2;0
gravitate;1;1;1
gravitating;1;1;0
gravitation;2;2;0
gravitational;38;38;17
gravitationally;8;8;4
gravities;1;1;1
gravitons;1;1;0
gravitropic;1;1;0
gravitropism;1;1;0
gravity;50;50;22
gravy;1;1;1
graw;1;1;0
gray;35;35;15
graybill;1;1;0
grayhound;1;1;1
grayi;1;1;1
grayish;2;2;0
graypage;1;1;0
graypageall;1;1;1
graypagearticles;1;1;1
grayson;1;1;1
graysubject;3;3;2
graywacke;1;1;1
graz;3;3;1
graze;2;2;1
grazed;2;2;0
grazer;2;2;1
grazers;3;3;1
grazia;1;1;0
grazian;1;1;0
graziano;1;1;0
grazing;18;18;7
grb;1;1;0
gre;1;1;1
grease;1;1;0
greases;1;1;0
greasy;1;1;0
great;242;242;96
greater;194;194;78
greatest;92;92;36
greatly;110;110;39
greatness;1;1;1
greats;1;1;1
greaves;1;1;1
grebe;1;1;0
grec;2;2;1
grecians;1;1;1
greco;1;1;1
greda;1;1;0
greece;32;32;12
greeceancient;1;1;1
greecelanguages;1;1;1
greecemuseums;1;1;0
greek;188;188;74
greekancient;2;2;2
greeklish;1;1;1
greeks;21;21;9
green;132;132;54
greenberg;6;6;5
greenberry;1;1;0
greenblatt;1;1;1
greene;5;5;3
greenery;2;2;1
greenfields;1;1;1
greenhaven;1;1;0
greenhouse;36;36;15
greenhouses;1;1;1
greening;4;4;2
greenish;4;4;1
greenland;14;14;3
greenlandite;1;1;0
greenleaf;1;1;0
greenness;1;1;0
greenpeace;1;1;0
greens;4;4;3
greenstone;8;8;3
greenstones;2;2;1
greenway;1;1;0
greenwich;4;4;1
greenwood;33;33;12
greeshma;1;1;1
greet;2;2;0
greeted;3;3;1
greeting;3;3;1
greets;1;1;1
greg;13;13;6
gregalis;1;1;1
greger;1;1;1
gregg;6;6;3
gregor;12;12;5
gregorian;18;18;3
gregorianischen;1;1;0
gregorio;6;6;3
gregorovius;1;1;1
gregory;39;39;13
greifer;1;1;1
greiner;1;1;0
gren;1;1;1
grenadiers;1;1;1
grenadines;2;2;0
grenkevich;1;1;1
grenoble;1;1;0
grenville;2;2;1
gretchen;1;1;0
greuthungic;1;1;0
greve;1;1;0
grevs;1;1;1
grew;62;62;26
grey;33;33;13
greyfriars;1;1;0
greyhill;2;2;0
greyhound;1;1;1
greyish;1;1;0
greywater;2;2;2
grf;1;1;1
gribaldo;1;1;0
gribbin;1;1;0
gribble;2;2;0
grid;13;13;6
gridded;1;1;1
griddle;1;1;0
gridiron;1;1;0
grids;4;4;2
grieben;1;1;0
griechische;1;1;0
griechischen;1;1;0
grief;5;5;1
grien;1;1;0
grier;3;3;1
grierson;2;2;0
griesbaum;1;1;0
grieshop;1;1;0
grievances;3;3;1
grieved;2;2;1
grieving;2;2;1
griffin;5;5;3
griffineae;1;1;0
griffith;7;7;3
griffiths;4;4;3
grifola;1;1;0
grighund;1;1;1
grignard;2;2;0
grigori;2;2;0
grigoriev;1;1;1
grigory;1;1;0
grigoryev;1;1;0
grijalva;1;1;1
griko;1;1;0
grill;6;6;3
grille;1;1;1
grilled;6;6;1
grilling;1;1;0
grills;2;2;1
grimaldi;1;1;0
grime;1;1;0
grimes;1;1;0
grimm;1;1;0
grimminger;1;1;0
grimont;1;1;0
grin;4;4;2
grinch;1;1;0
grind;6;6;4
grinde;1;1;0
grinding;4;4;2
grinds;1;1;1
grip;5;5;2
gris;1;1;0
grisea;1;1;0
grisebach;1;1;0
griselda;3;3;1
griselinia;1;1;1
griseofulvin;1;1;0
grisette;2;2;1
grishin;1;1;0
griswoldi;1;1;1
grit;1;1;1
grits;1;1;0
grittier;1;1;0
gritty;3;3;0
grizel;1;1;1
grizzled;1;1;0
grn;1;1;0
gro;2;2;2
groag;1;1;1
groat;1;1;1
groats;2;2;1
grocers;2;2;1
grocery;9;9;2
groen;1;1;1
groendahl;1;1;1
groenewald;1;1;1
groenhof;1;1;0
groensteen;1;1;0
grogne;1;1;0
groix;1;1;0
grolier;1;1;0
gromia;1;1;1
groomed;1;1;0
grooming;1;1;1
groopman;1;1;1
groote;1;1;0
groove;7;7;1
grooved;2;2;0
grooveless;1;1;1
grooves;4;4;1
groping;1;1;1
gros;3;3;1
gross;42;42;16
grosser;1;1;0
grosset;1;1;0
grossing;2;2;1
grossly;2;2;1
grossman;3;3;2
grosso;1;1;0
grosvenor;1;1;1
grote;1;1;0
grotius;1;1;0
grotta;1;1;0
grotzinger;1;1;1
ground;113;113;42
groundbreaking;3;3;1
grounded;7;7;5
groundhog;1;1;1
grounding;1;1;1
groundless;1;1;0
groundmass;1;1;1
groundnut;1;1;1
grounds;25;25;14
groundwater;17;17;10
groundwork;4;4;1
group;287;287;121
groupe;1;1;0
grouped;61;61;22
grouping;36;36;15
groupings;20;20;7
groups;206;206;93
groupsestershidden;1;1;0
groupsgerman;1;1;1
groupsmusical;1;1;1
groupssludge;1;1;1
groux;1;1;1
grove;13;13;6
grover;2;2;1
groves;4;4;2
grow;116;116;41
grower;4;4;2
growers;6;6;2
growing;153;153;55
growling;1;1;1
grown;77;77;29
grows;53;53;18
growth;187;187;66
growths;3;3;1
groynes;1;1;0
grozdanov;1;1;1
grozny;1;1;0
gru;1;1;0
grubb;1;1;0
grube;1;1;1
grubs;1;1;0
grudem;1;1;0
gruenbaum;1;1;0
gruentzig;1;1;0
grumeza;1;1;0
grundlage;1;1;0
grundmann;1;1;1
grundsprachlicher;1;1;1
grundzige;1;1;0
grunge;1;1;1
grunwald;1;1;1
grupo;2;2;0
grupos;3;3;1
gruppo;1;1;0
grush;1;1;0
gruyter;7;7;2
grynaeus;1;1;0
grypania;1;1;1
grysbok;1;1;0
gryzenhout;2;2;1
grzegorz;1;1;1
grzimek;1;1;0
grzybowska;1;1;0
gs;1;1;1
gsa;8;8;3
gschneider;1;1;1
gschneidner;1;1;1
gsp;2;2;0
gssp;4;4;0
gsusa;1;1;0
gt;3;3;2
gtp;2;2;0
gtpase;2;2;0
gts;3;3;1
gu;1;1;0
guadagnare;1;1;0
guadagno;1;1;0
guadalupe;2;2;1
guadalupian;1;1;0
guadeloupe;4;4;1
guaiac;1;1;1
guaitecas;1;1;0
gualberto;1;1;0
guallar;1;1;0
gualtiero;1;1;0
guam;4;4;1
guan;3;3;1
guanabara;1;1;0
guanaco;3;3;0
guang;1;1;1
guangdong;1;1;0
guangxi;1;1;1
guanine;4;4;1
guano;2;2;0
guanosine;1;1;0
guanzi;1;1;1
guar;1;1;1
guarani;2;2;1
guarantee;5;5;2
guaranteed;12;12;6
guaranteeing;5;5;0
guarantees;6;6;2
guard;21;21;8
guarded;7;7;5
guardian;28;28;10
guardians;2;2;2
guarding;2;2;1
guards;6;6;3
guarianthe;1;1;0
guarro;1;1;0
guatemala;2;2;1
guatemalan;1;1;0
guatemalans;1;1;0
guava;2;2;0
guayaquil;1;1;1
gubernatorial;1;1;0
gudin;1;1;0
gudrun;1;1;1
gueidan;1;1;1
gueimonde;1;1;0
guelph;1;1;0
guenter;1;1;0
guerilla;1;1;1
guerin;1;1;0
guernica;1;1;0
guerra;1;1;0
guerre;4;4;0
guerrero;2;2;0
guerriers;1;1;0
guerrilla;7;7;2
guerrillas;2;2;1
guess;5;5;2
guesses;1;1;0
guessowii;1;1;0
guest;7;7;3
guestbook;1;1;0
guests;5;5;2
guggenheim;1;1;1
guglielmo;3;3;2
gugliotta;1;1;0
guiana;10;10;1
"guiana
";1;1;0
guianalanguages;1;1;1
guianan;1;1;1
guianas;1;1;1
guid;1;1;1
guidance;16;16;8
guidant;1;1;0
guide;195;195;81
guidebook;3;3;2
guidebooks;1;1;1
guided;15;15;7
guideline;2;2;0
guidelines;28;28;16
guides;20;20;8
guideway;1;1;1
guiding;6;6;2
guido;7;7;2
guienne;1;1;0
guiffrey;1;1;1
guigar;1;1;0
guignot;2;2;2
guild;8;8;4
guildamerica;1;1;0
guilder;1;1;1
guilderson;1;1;0
guilds;3;3;1
guilford;3;3;1
guilherme;1;1;0
guillaume;5;5;0
guillemin;1;1;1
guillermo;2;2;1
guillotine;2;2;0
guillotined;3;3;1
guilty;3;3;0
guimet;1;1;0
guin;1;1;1
guinea;16;16;7
guinealanguages;1;1;1
guingamp;1;1;0
guinness;15;15;9
guise;4;4;3
guitar;7;7;6
guitarist;3;3;2
guitars;2;2;2
gujar;2;2;2
gujarat;3;3;0
gujarati;1;1;1
gujranwala;1;1;0
gujrat;1;1;0
gulch;3;3;3
gulches;1;1;0
gules;1;1;0
gulf;35;35;14
gullet;1;1;0
gulleys;1;1;0
gulli;1;1;0
gullible;1;1;1
gullies;3;3;1
gulraiz;1;1;1
gum;3;3;1
gumillea;1;1;1
gummivory;1;1;1
gummy;1;1;0
gumpach;1;1;0
gumperz;1;1;1
gums;1;1;0
gun;8;8;2
guna;1;1;0
gunaji;1;1;1
gunboat;1;1;1
